,videoId,0
300,dWMQg5uJkEg,100
301,de7qwbk_vQo,35
302,e-_GN1yTxjk,100
303,e5iuVdLhyfw,100
304,eE8138tKvjA,6
305,eYNu45ZtK2k,100
306,e_pnxVK6qP4,13
307,erlZEFF-oNc,100
308,f1oQzvfhqCs,100
309,f22ttL2m1iQ,45
310,f4JzI3TB_KU,81
311,f8U-RqciLVI,100
312,f92-7h6DPU0,100
313,fVeH4yH85JI,100
314,f_7vX5A82UA,96
315,fdYHEBfgfms,100
316,fhnOfMnFsWM,72
317,fndyOfp7Pl4,47
318,fr-pLuptm2c,100
319,fyyi0IGdCS0,100
320,fzWMWuzfs4U,100
321,g4M7_bW_ZIk,100
322,g6eDKrrR0Eg,100
323,g99CPEPAK_U,34
324,gD2fDBwKe4g,45
325,gEGereKmqPY,100
326,gEJn9yITdR4,100
327,gFbaGHOsNpE,100
328,gNu2YS4FJms,100
329,gRYl07J5Fc0,100
330,gW_YhjuXT2Q,100
331,gah0bHnwAE0,10
332,grKGj-5xGL8,100
333,gsWytHBBY_g,100
334,gwWIqsiYKdE,100
335,gzoVilImk64,100
336,h1YMiDWpBns,100
337,h5nnsGX3fTY,8
338,hLtLEiSTwVo,100
339,h_U5WsMbxxs,100
340,hduUja23oI8,23
341,i8S-62f_htE,100
342,iQi8PgPzX6I,100
343,iU51-UTVEIg,100
344,i_RvAO05BLQ,100
345,ijhSGJ9KOGs,100
346,ilj2jG_sRPI,100
347,jD38t1Nz0H4,38
348,jJZNFJWdo00,100
349,j_AMF5HNh58,100
350,j_cD-jNj2F8,100
351,jdHbSjehTik,100
352,jie6_jR0yQw,100
353,jjnmYPGytpM,100
354,jt26-sqXvIc,100
355,kERuJ5-KFAE,100
356,kRaSF6PDos8,100
357,kSjkR6f0d68,91
358,kT38YYLAuIo,27
359,kTAMzy8eUhI,100
360,kcRBKaLJN1w,94
361,knw-OEtNt9s,100
362,koB83uKcgYA,100
363,l1IkUPzN0B4,100
364,lFnfzFKWtpU,100
365,lLQAZmE2R6M,100
366,lgZbhlhqyCo,29
367,llYC0H331xo,100
368,m4AAayltokY,100
369,m6N6twUhUB4,100
370,mEgw_W2vgZs,45
371,mGp1iV5ZAgM,39
372,mIAezBpDbC4,100
373,mJnZYQT5fng,100
374,mKUYFM99VHo,100
375,mSeUSwzNJLA,4
376,mTIgc2DymyQ,100
377,md2CbrgfFwc,100
378,mh-QbFntqpc,81
379,mpDJIuIRKfM,100
380,mt19JfWbcBc,100
381,mtRh2bqwqbY,100
382,mxval_B2fy4,16
383,n3ya0QkyqPU,100
384,nRNdL_DqxVw,100
385,nYNaFdFvAzw,96
386,naJnxJMkvLc,100
387,nq0JbnmVyPw,100
388,o1psB05YI0k,100
389,o2J-kiOxYHQ,100
390,o4JyBPWjcBM,100
391,o5Y-RgmGMDM,100
392,oUSkWrNpNKI,100
393,oWiCMfmdt2o,100
394,oe29GYnIcwE,100
395,of7zsaJSkP8,17
396,olnuRJkIowk,100
397,omlhRObW6yE,100
398,orabJKsj6lQ,100
399,ovTInzrKBUg,100
